Date,Time,Bar#,Bar Index,Tick Range,Open,High,Low,Close,EMA,EMA,EMA,Bollinger Upper,Bollinger Lower,Bollinger Upper,VWAP,EMA,CumVol,Vol,Ask Vol,Inside Vol,Bid Vol
03/03/2023,07:55:00 PM,8183/8183,0,20,16.2,16.3,16.1,16.3,13.718286872,16.269267148,16.296868764,16.49,16.14,16.58,15.15,16.288597703,6580222,2151,,,
03/03/2023,07:50:00 PM,8182/8183,-1,15,16.35,16.35,16.2,16.2,13.689440915,16.266032111,16.296085955,16.53,16.05,16.59,15.15,16.280996171,6578071,6015,,,
03/03/2023,07:45:00 PM,8181/8183,-2,0,16.35,16.35,16.35,16.35,13.661389976,16.272982859,16.320107443,16.53,16.07,16.59,15.15,16.334993619,6572056,448,,,
03/03/2023,07:40:00 PM,8180/8183,-3,15,16.25,16.4,16.25,16.4,13.63134964,16.264875792,16.312634304,16.61,16.04,16.59,15.15,16.324989365,6571608,650,,,
03/03/2023,07:35:00 PM,8179/8183,-4,3,16.2,16.2,16.1701,16.1701,13.600414999,16.250652191,16.29079288,16.59,16.01,16.57,15.15,16.274982275,6570958,700,,,
03/03/2023,07:30:00 PM,8178/8183,-5,10,16.3,16.4,16.3,16.4,13.571703435,16.259131369,16.3209661,16.69,16.03,16.59,15.15,16.344903792,6570258,200,,,
03/03/2023,07:25:00 PM,8177/8183,-6,13,16.27,16.4,16.27,16.4,13.540102356,16.244303092,16.301207625,16.68,15.99,16.58,15.15,16.308172987,6570058,1202,,,
03/03/2023,07:20:00 PM,8176/8183,-7,52,16.52,16.52,16,16.08,13.508148192,16.227913944,16.276509531,16.66,15.96,16.64,15.15,16.246954978,6568856,4668,,,
03/03/2023,07:15:00 PM,8175/8183,-8,37,16.58,16.65,16.28,16.28,13.479412418,16.243483832,16.325636914,16.64,16.01,16.64,15.15,16.358258297,6564188,3744,,,
03/03/2023,07:10:00 PM,8174/8183,-9,16,16.39,16.55,16.39,16.55,13.448120937,16.239640025,16.337046143,16.64,16.01,16.65,15.15,16.410430496,6560444,851,,,
03/03/2023,07:05:00 PM,8173/8183,-10,37,16.6,16.6,16.2301,16.2301,13.41346307,16.206970554,16.283807678,16.58,16.04,16.65,15.15,16.317384159,6559593,651,,,
03/03/2023,07:00:00 PM,8172/8183,-11,38,16.22,16.6,16.22,16.6,13.381992266,16.204535876,16.297234598,16.58,16.02,16.69,15.15,16.375573599,6558942,693,,,
