Date,Time,Bar#,Bar Index,Tick Range,Open,High,Low,Close,EMA,EMA,EMA,Bollinger Upper,Bollinger Lower,Bollinger Upper,VWAP,EMA,CumVol,Vol,Ask Vol,Inside Vol,Bid Vol
03.03.2023,7:55:00 PM,8183/8183,0,20,16.2,16.3,16.1,16.3,13.71828687,16.26926715,16.29686876,16.49,16.14,16.58,15.15,16.2885977,6580222,2151,,,
03.03.2023,7:50:00 PM,8182/8183,-1,15,16.35,16.35,16.2,16.2,13.68944092,16.26603211,16.29608596,16.53,16.05,16.59,15.15,16.28099617,6578071,6015,,,
03.03.2023,7:45:00 PM,8181/8183,-2,0,16.35,16.35,16.35,16.35,13.66138998,16.27298286,16.32010744,16.53,16.07,16.59,15.15,16.33499362,6572056,448,,,
03.03.2023,7:40:00 PM,8180/8183,-3,15,16.25,16.4,16.25,16.4,13.63134964,16.26487579,16.3126343,16.61,16.04,16.59,15.15,16.32498937,6571608,650,,,
03.03.2023,7:35:00 PM,8179/8183,-4,3,16.2,16.2,16.1701,16.1701,13.600415,16.25065219,16.29079288,16.59,16.01,16.57,15.15,16.27498228,6570958,700,,,
03.03.2023,7:30:00 PM,8178/8183,-5,10,16.3,16.4,16.3,16.4,13.57170344,16.25913137,16.3209661,16.69,16.03,16.59,15.15,16.34490379,6570258,200,,,
03.03.2023,7:25:00 PM,8177/8183,-6,13,16.27,16.4,16.27,16.4,13.54010236,16.24430309,16.30120763,16.68,15.99,16.58,15.15,16.30817299,6570058,1202,,,
03.03.2023,7:20:00 PM,8176/8183,-7,52,16.52,16.52,16,16.08,13.50814819,16.22791394,16.27650953,16.66,15.96,16.64,15.15,16.24695498,6568856,4668,,,
03.03.2023,7:15:00 PM,8175/8183,-8,37,16.58,16.65,16.28,16.28,13.47941242,16.24348383,16.32563691,16.64,16.01,16.64,15.15,16.3582583,6564188,3744,,,
03.03.2023,7:10:00 PM,8174/8183,-9,16,16.39,16.55,16.39,16.55,13.44812094,16.23964003,16.33704614,16.64,16.01,16.65,15.15,16.4104305,6560444,851,,,
03.03.2023,7:05:00 PM,8173/8183,-10,37,16.6,16.6,16.2301,16.2301,13.41346307,16.20697055,16.28380768,16.58,16.04,16.65,15.15,16.31738416,6559593,651,,,
03.03.2023,7:00:00 PM,8172/8183,-11,38,16.22,16.6,16.22,16.6,13.38199227,16.20453588,16.2972346,16.58,16.02,16.69,15.15,16.3755736,6558942,693,,,
03.03.2023,6:55:00 PM,8171/8183,-12,0,16.21,16.21,16.21,16.21,13.34603687,16.16290807,16.22154325,16.42,16.11,16.65,15.15,16.225956,6558249,110,,,
03.03.2023,6:45:00 PM,8170/8183,-13,0,16.2,16.2,16.2,16.2,13.31403729,16.15795103,16.22442906,16.42,16.11,16.66,15.15,16.23659333,6558139,548,,,
03.03.2023,6:40:00 PM,8169/8183,-14,6,16.22,16.22,16.16,16.2,13.28179189,16.15352482,16.23053632,16.46,16.03,16.66,15.15,16.26098888,6557591,366,,,
03.03.2023,6:35:00 PM,8168/8183,-15,23,16.3,16.4,16.17,16.3,13.24918621,16.1486327,16.23817041,16.47,16.04,16.65,15.15,16.30164814,6557225,1004,,,
03.03.2023,6:30:00 PM,8167/8183,-16,17,16.3,16.47,16.3,16.42,13.21509891,16.1326993,16.22271301,16.67,15.95,16.62,15.15,16.3027469,6556221,728,,,
03.03.2023,6:25:00 PM,8166/8183,-17,48,16.33,16.67,16.19,16.19,13.17928996,16.10245712,16.17339126,16.63,15.93,16.56,15.15,16.22457817,6555493,8025,,,
03.03.2023,6:20:00 PM,8165/8183,-18,21,16.15,16.31,16.1,16.31,13.14565074,16.09324208,16.16923907,16.65,15.85,16.55,15.14,16.24763028,6547468,1946,,,
03.03.2023,6:15:00 PM,8164/8183,-19,4,16.2,16.24,16.2,16.24,13.11029488,16.07042545,16.13404884,16.68,15.68,16.51,15.14,16.20605046,6545522,350,,,
03.03.2023,6:10:00 PM,8163/8183,-20,26,16.3,16.3,16.04,16.04,13.07532611,16.0525755,16.10756105,16.69,15.52,16.52,15.14,16.18341744,6545172,1598,,,
03.03.2023,6:05:00 PM,8162/8183,-21,34,16.64,16.64,16.3,16.3,13.04220126,16.05389924,16.12445131,16.7,15.42,16.55,15.14,16.27902906,6543574,1857,,,
03.03.2023,6:00:00 PM,8161/8183,-22,60,16.18,16.78,16.18,16.67,13.00580128,16.02799389,16.08056414,16.62,15.34,16.57,15.14,16.26504844,6541717,6562,,,
03.03.2023,5:55:00 PM,8160/8183,-23,26,16.02,16.2,15.94,16.2,12.96486051,15.9604143,15.93320518,16.18,15.51,16.44,15.14,15.99508073,6535155,700,,,
03.03.2023,5:50:00 PM,8159/8183,-24,24,15.86,16.1,15.86,16,12.9287137,15.93519476,15.86650647,15.96,15.6,16.49,15.14,15.85846788,6534455,6901,,,
